pid,duration,date,race_ethn,gender,age,subscale,item,response
50,2434,11/18/18 14:27,6,2,20,sr,2,1
55,744,11/19/18 14:24,5,2,19,sr,2,2
60,10045,11/20/18 18:51,4,2,19,sr,2,3
62,1769,11/21/18 11:14,5,2,20,sr,2,2
66,5018,11/23/18 15:34,2,2,19,sr,2,2
69,2391,11/24/18 16:03,6,2,23,sr,2,3
70,2298,11/24/18 18:49,6,2,19,sr,2,2
74,2157,11/26/18 14:53,3,2,20,sr,2,1
75,1550,11/26/18 15:45,5,2,18,sr,2,3
76,1014,11/26/18 17:37,5,2,19,sr,2,2
79,1704,11/27/18 13:16,5,2,18,sr,2,3
86,1288,11/28/18 11:39,6,2,19,sr,2,2
89,7441,11/28/18 16:08,6,2,18,sr,2,3
94,2527,11/29/18 17:05,5,2,20,sr,2,2
96,3148,11/29/18 19:50,1,2,19,sr,2,1
98,1992,11/30/18 13:59,5,2,19,sr,2,NA
100,902,11/30/18 19:46,5,2,19,sr,2,2
3,2412,11/6/18 20:19,6,1,19,sr,2,3
4,1223,11/8/18 11:49,2,1,18,sr,2,3
5,2708,11/10/18 11:56,2,1,20,sr,2,1
6,2417,11/10/18 16:22,1,1,18,sr,2,3
8,5365,11/11/18 14:44,6,1,20,sr,2,2
9,3936,11/11/18 15:13,5,1,18,sr,2,3
11,873,11/11/18 20:14,5,1,19,sr,2,3
12,5461,11/11/18 21:51,5,1,19,sr,2,3
13,1451,11/12/18 9:35,5,1,21,sr,2,2
14,1584,11/12/18 13:09,2,1,20,sr,2,3
15,1152,11/12/18 14:35,2,1,18,sr,2,2
16,1607,11/12/18 14:36,5,1,18,sr,2,3
17,3009,11/12/18 14:59,5,1,18,sr,2,4
19,527,11/12/18 15:10,5,1,19,sr,2,2
20,757,11/12/18 17:46,5,1,19,sr,2,1
21,2900,11/12/18 18:11,2,1,21,sr,2,1
22,2175,11/12/18 23:00,5,1,20,sr,2,3
23,25544,11/12/18 23:34,5,1,21,sr,2,1
24,1430,11/13/18 0:24,2,1,18,sr,2,1
25,1600,11/13/18 11:22,5,1,18,sr,2,4
26,1130,11/13/18 16:38,5,1,18,sr,2,5
31,1655,11/14/18 10:26,5,1,22,sr,2,3
32,845,11/14/18 12:33,5,1,18,sr,2,3
33,266503,11/14/18 15:02,5,1,19,sr,2,5
34,1299,11/14/18 15:51,5,1,19,sr,2,3
36,1416,11/14/18 19:18,5,1,20,sr,2,3
38,9333,11/14/18 20:48,5,1,20,sr,2,3
39,2016,11/14/18 21:34,5,1,19,sr,2,1
40,3220,11/14/18 21:48,6,1,19,sr,2,2
43,960,11/15/18 10:15,5,1,19,sr,2,2
45,1396,11/15/18 21:40,5,1,19,sr,2,2
46,3263,11/15/18 23:21,5,1,19,sr,2,3
47,2634,11/16/18 13:51,5,1,19,sr,2,2
49,1203,11/18/18 12:59,5,1,18,sr,2,5
51,1405,11/18/18 17:54,2,1,18,sr,2,2
52,1833,11/18/18 20:08,5,1,20,sr,2,1
53,1921,11/18/18 22:27,5,1,19,sr,2,3
54,1930,11/19/18 12:33,3,1,20,sr,2,5
56,1722,11/19/18 21:18,5,1,18,sr,2,2
57,1409,11/19/18 21:19,5,1,18,sr,2,4
58,1470,11/20/18 14:36,5,1,19,sr,2,2
59,1536,11/20/18 17:53,5,1,18,sr,2,2
61,1136,11/20/18 21:53,5,1,23,sr,2,4
63,1307,11/21/18 12:57,5,1,19,sr,2,3
64,1630,11/21/18 13:00,5,1,20,sr,2,5
65,1837,11/21/18 17:57,4,1,18,sr,2,1
67,1087,11/23/18 18:26,5,1,21,sr,2,4
68,1566,11/23/18 20:48,5,1,19,sr,2,5
71,1465,11/25/18 11:21,5,1,18,sr,2,1
72,745,11/25/18 21:34,5,1,20,sr,2,2
73,1542,11/25/18 23:33,5,1,18,sr,2,3
77,1236,11/26/18 20:29,2,1,18,sr,2,4
78,3247,11/26/18 20:55,2,1,18,sr,2,5
80,1665,11/27/18 15:15,5,1,21,sr,2,4
81,2614,11/27/18 19:03,5,1,18,sr,2,2
82,20989,11/27/18 20:33,5,1,18,sr,2,2
83,2427,11/27/18 22:57,5,1,18,sr,2,4
84,2218,11/28/18 0:02,5,1,18,sr,2,4
85,1573,11/28/18 10:57,5,1,18,sr,2,5
87,1574,11/28/18 15:22,5,1,19,sr,2,5
88,1222,11/28/18 16:02,2,1,20,sr,2,1
90,1920,11/28/18 16:19,6,1,18,sr,2,2
91,941,11/28/18 16:26,6,1,19,sr,2,1
92,1842,11/29/18 14:34,5,1,19,sr,2,4
93,3469,11/29/18 15:50,6,1,18,sr,2,2
95,197,11/29/18 19:22,5,1,20,sr,2,3
97,2083,11/29/18 20:39,5,1,21,sr,2,4
99,1357,11/30/18 16:00,5,3,21,sr,2,4
1,1111,11/6/18 13:17,5,2,23,sr,3,3
7,1528,11/11/18 13:44,5,2,21,sr,3,3
10,10957,11/11/18 16:18,6,2,19,sr,3,2
18,2445,11/12/18 15:03,5,2,19,sr,3,5
27,2325,11/13/18 18:56,5,2,23,sr,3,5
